vendedor,valor_total,cartao_credito,boleto,voucher,cartao_debito
0015a82c2db000af6aaaf3ae2ecb0532,2748.06,100.0,0,0,0
001cca7ae9ae17fb1caed9dfb1094831,34035.3,76.0,22.0,1.0,1.0
001e6ad469a905060d959994f1b41e4f,267.94,100.0,0,0,0
002100f778ceb8431b7a1020ff7ab48f,2108.72,60.0,34.0,6.0,0
003554e2dce176b5555353e4f3555ac8,139.38,100.0,0,0,0
004c9cd9d87a3c30c522c48c4fc07416,23733.68,80.0,15.0,5.0,0
00720abe85ba0859807595bbf045a33b,1323.48,98.0,2.0,0,0
00ab3eff1b5192e5f1a63bcecfee11c8,110.08,100.0,0,0,0
00d8b143d12632bad99c0ad66ad52825,137.1,100.0,0,0,0
00ee68308b45bc5e2660cd833c3f81cc,24023.97,83.0,14.0,2.0,1.0
00fc707aaaad2d31347cf883cd2dfe10,14969.99,65.0,34.0,0,1.0
010543a62bd80aa422851e79a3bc7540,1447.95,100.0,0,0,0
010da0602d7774602cd1b3f5fb7b709e,1079.75,100.0,0,0,0
011b0eaba87386a2ae96a7d32bb531d1,129.16,0,100.0,0,0
01266d4c46afa519678d16a8b683d325,137.48,45.0,55.0,0,0
013900e863eace745d3ec7614cab5b1a,2148.37,97.0,0,3.0,0
014c0679dd340a0e338872e7ec85666a,7817.65,98.0,0,2.0,0
014d9a685fd57276679edd00e07089e5,876.81,77.0,15.0,0,8.0
0176f73cc1195f367f7b32db1e5b3aa8,6173.93,80.0,18.0,2.0,0
01bcc9d254a0143f0ce9791b960b2a47,1942.76,79.0,14.0,7.0,0
01c97ebb5cdac52891c0ed1c37ba0012,756.0,77.0,23.0,0,0
01cf7e3d21494c41fb86034f2e714fa1,12113.48,75.0,17.0,7.0,1.0
01ed254b9ff8407dfb9d99ba1e17d923,1533.71,100.0,0,0,0
01fd077212124329bac32490e8ef80d9,1835.15,74.0,21.0,3.0,3.0
01fdefa7697d26ad920e9e0346d4bd1b,17807.92,77.0,19.0,2.0,2.0
0241d4d5d36f10f80c644447315af0bd,39619.97,79.0,15.0,4.0,2.0
0249d282d911d23cb8b869ab49c99f53,531.88,81.0,19.0,0,0
024b564ae893ce8e9bfa02c10a401ece,918.4,32.0,68.0,0,0
028872bfa080090a9d0abd4f1af168f8,117.87,100.0,0,0,0
02a2272692e13558373c66db98f05e2e,93.85,100.0,0,0,0
02b72cdeb9cfcc429f1af6f4e3f3b737,748.64,50.0,26.0,0,23.0
02c988090b766852e088c69d7fb3b551,1836.95,77.0,5.0,8.0,10.0
02d35243ea2e497335cd0f076b45675d,6399.95,81.0,14.0,5.0,0
02dcd3e8e25bee036e32512bcf175493,1804.07,56.0,44.0,0,0
02ecc2a19303f05e59ce133fd923fff7,5742.4,75.0,25.0,0,0
02f5837340d7eb4f653d676c7256523a,4463.88,93.0,7.0,0,0
02f623a8eb246f3c5f7c2f96462654e6,7207.63,73.0,19.0,0,8.0
0307f7565ff85b299b6e5ef162b1b1a9,5003.57,77.0,23.0,1.0,0
0336182e1b3e92f029d5354832045fdf,47.37,100.0,0,0,0
034b9387752bfa309f350a70cd45ffa3,270.49,89.0,0,11.0,0
038b75b729c8a9a04b0d07cba7eabe86,557.85,100.0,0,0,0
039b29ff3b3473435d0cd59040575de9,215.55,100.0,0,0,0
039e6ad9dae79614493083e241147386,13273.42,70.0,30.0,0,0
03a2a6dcbe45d639c4dc2a0d24769c40,1250.66,91.0,9.0,0,0
03bd479e1d9484cdb14104d3023f7321,417.42,66.0,34.0,0,0
0417b067eeab773d2f7061a726dc477f,2602.5,58.0,12.0,4.0,26.0
042573af89b6d931f672efaf789d8358,548.98,87.0,0,13.0,0
04308b1ee57b6625f47df1d56f00eedf,63184.99,81.0,17.0,0,2.0
0432ead42b6c8a0bdf68154add917fdf,9202.62,79.0,17.0,4.0,0
044668ccd5316b12a7cf0d54a156e3e9,245.03,78.0,0,22.0,0
04843805947f0fc584fc1969b6e50fe7,1474.76,100.0,0,0,0
048c2757535328e0d7dac690ad3c0aae,10851.28,77.0,18.0,3.0,2.0
04aa0a1c5ce6b222003403a3e11c3cc0,6339.51,75.0,25.0,0,0
04aba03279157f6d4e0fe8ccaf21963c,2922.33,93.0,7.0,0,0
04e38a233f726ef161074ab1c9b0399a,1920.75,72.0,21.0,6.0,2.0
04ee0ec01589969663ba5967c0e0bdc0,314.32,100.0,0,0,0
04fdea0c111866e6cf812f1570d6b5bd,1261.95,81.0,19.0,0,0
0509040ea3fe50071181bbc359eb7738,5306.8,79.0,18.0,2.0,1.0
052577151711aec5c744fe12e66db3e1,2970.42,49.0,51.0,0,0
054694fa03fe82cec4b7551487331d74,10703.75,80.0,20.0,0,0
056b4ada5bbc2c50cc7842547dda6b51,13639.41,95.0,4.0,1.0,0
0570350b23eda5444f8d1d9544932058,751.76,100.0,0,0,0
05730013efda596306417c3b09302475,1168.67,50.0,50.0,0,0
058cb5aeb36d7c0fcae20fc85d5e0a59,2107.42,69.0,25.0,0,6.0
058fd0aa2bfdb2274e05e1ae971dabb6,8711.53,79.0,19.0,2.0,0
05a48cc8859962767935ab9087417fbb,59.39,100.0,0,0,0
05a940b4ecae36cadfd8e93bd9c43257,1148.94,58.0,42.0,0,0
05aebce0b5c8f0d41b29b686f2d05fd3,120.88,0,100.0,0,0
05ca864204d09595ae591b93ea9cf93d,188.42,0,100.0,0,0
05d2173d43ea568aa0540eba70d2ca76,7464.48,66.0,29.0,2.0,3.0
05e107217c7266362fd44b75b2cd4cc4,275.39,31.0,11.0,0,58.0
05f51e13da97139648b8125c31e5f51b,15788.3,81.0,19.0,0,0
05feb94f19d094d4b0f9281f0b1d4c99,10050.04,86.0,14.0,0,0
05ff92fedb5be47920fea08e501238b9,24603.52,74.0,23.0,3.0,0
062c325cd6a2b87845fab56b4ec2eeae,157.08,100.0,0,0,0
062ce95fa2ad4dfaedfc79260130565f,8831.3,79.0,20.0,1.0,0
06532f10282704ef4c69168b914b77be,10918.74,65.0,31.0,4.0,0
06579cb253ecd5a3a12a9e6eb6bf8f47,6308.24,75.0,21.0,1.0,3.0
066a6914e1ebf3ea95a216c73a986b91,11174.5,85.0,13.0,1.0,1.0
0691148aee60ca47977c187804f935ae,7478.6,93.0,6.0,2.0,0
0692610d8abe24f287e9fae90ea0bbee,205.72,54.0,46.0,0,0
06a2c3af7b3aee5d69171b0e14f0ee87,48894.77,80.0,18.0,1.0,1.0
06bb3a2fe5e7b7a845b13e8fb91bd944,1862.33,72.0,22.0,5.0,0
06df0c10d34e459d9672bc77388742eb,9595.77,90.0,7.0,0,4.0
06e5eefc71ec47ae763c5c6f8db7064f,25137.97,77.0,19.0,4.0,0
07017df32dc5f2f1d2801e579548d620,1128.24,54.0,32.0,14.0,0
070d165398b553f3b4b851c216b8a358,4396.75,68.0,20.0,13.0,0
0725b8c0f3f906e58f70cbe76b7c748c,2943.54,60.0,32.0,1.0,7.0
0743a0239d764b9a0f959a57d07e36ab,467.65,86.0,0,14.0,0
0747d5bb69f0586cc869d8af4c50f93e,555.49,61.0,19.0,20.0,0
0761743cbffb25d7148189e9f1a5f03a,327.4,28.0,72.0,0,0
077c5fae4bea9500e3737b16f71b9d3a,177.24,83.0,17.0,0,0
0791d9fc1e30678ecf03d3e55fa108d3,1028.99,90.0,10.0,0,0
079d295dcbf06ee8bb1b65ba964eb2b6,540.09,85.0,15.0,0,0
07a9bc7f61396b658ddf3ac534efe44c,135.49,100.0,0,0,0
07bf9669d84d1f11be443a9dd938f698,2422.22,71.0,25.0,0,4.0
07d75e33f2750d97d467fb57e4dfdd8a,759.59,95.0,5.0,0,0
07de60b03d150fb3ea09eab5da5e4c8b,984.2,72.0,10.0,10.0,9.0
07e8e8fc5222bb358e6f259da3197074,74.86,100.0,0,0,0
080102cd0a76b09e0dcf55fcacc60e05,8007.99,72.0,24.0,2.0,2.0
080199a181c46c657dc5aa235411be3b,15733.82,85.0,12.0,1.0,1.0
08061dc0fc165ed41288cc7acde738ee,219.94,17.0,66.0,17.0,0
08084d990eb3f53af056ccbc1730c8a7,606.79,75.0,8.0,0,17.0
081acf3de680d554796c9cf041be7bc2,1802.8,100.0,0,0,0
082e0bf4cb865a6533b1e8e498cc0255,3064.33,75.0,25.0,0,0
085f6f7e049c996695fb2074fe38d45e,467.55,93.0,0,7.0,0
08633c14ef2db992c11f840f04fad4cd,9068.82,81.0,19.0,0.0,0
0873d9f8f36123f8d910f4760e788cfb,7426.65,100.0,0,0,0
0885aaf116795758dfeb5f1032487bcd,3162.32,96.0,4.0,0,0
